Date,Value
30-04-1968,39.1
31-05-1968,42
30-06-1968,40.95
31-07-1968,38.9
31-08-1968,39.85
30-09-1968,39.7
31-10-1968,39.2
30-11-1968,39.85
31-12-1968,41.95
31-01-1969,42.55
28-02-1969,42.775
31-03-1969,43.1
30-04-1969,43.6
31-05-1969,43.15
30-06-1969,41.225
31-07-1969,41.45
31-08-1969,40.95
30-09-1969,40.65
31-10-1969,39.85
30-11-1969,35.55
31-12-1969,35.21
31-01-1970,34.98
28-02-1970,35
31-03-1970,35.3
30-04-1970,35.85
31-05-1970,35.5
30-06-1970,35.51
31-07-1970,35.29
31-08-1970,35.775
30-09-1970,36.24
31-10-1970,37.4
30-11-1970,37.6
31-12-1970,37.375
31-01-1971,38
28-02-1971,38.79
31-03-1971,38.8
30-04-1971,39.6
31-05-1971,40.8
30-06-1971,40.2
31-07-1971,42.475
31-08-1971,41
30-09-1971,42.475
31-10-1971,42.34
30-11-1971,43.55
31-12-1971,43.64
31-01-1972,46.95
29-02-1972,48.4
31-03-1972,48.375
30-04-1972,49.5
31-05-1972,59.3
30-06-1972,64.1
31-07-1972,68.9
31-08-1972,66.8
30-09-1972,64.1
31-10-1972,64.425
30-11-1972,63.6
31-12-1972,64.7
31-01-1973,66
28-02-1973,85.3
31-03-1973,90.25
30-04-1973,90.7
31-05-1973,114.5
30-06-1973,123.5
31-07-1973,115.2
31-08-1973,104
30-09-1973,100.25
31-10-1973,97.25
30-11-1973,100.25
31-12-1973,112.25
31-01-1974,133.25
28-02-1974,169.5
31-03-1974,173
30-04-1974,168.5
31-05-1974,156.5
30-06-1974,146.75
31-07-1974,154
31-08-1974,155.25
30-09-1974,147.5
31-10-1974,166.4
30-11-1974,182
31-12-1974,187.5
31-01-1975,176.25
28-02-1975,181.75
31-03-1975,177.75
30-04-1975,167.4
31-05-1975,167.75
30-06-1975,166
31-07-1975,166.4
31-08-1975,161.5
30-09-1975,138.25
31-10-1975,143.4
30-11-1975,138.25
31-12-1975,140.25
31-01-1976,128
29-02-1976,132.3
31-03-1976,129.5
30-04-1976,128.15
31-05-1976,125.25
30-06-1976,123.8
31-07-1976,112.4
31-08-1976,103.05
30-09-1976,116.1
31-10-1976,122.3
30-11-1976,130.1
31-12-1976,134.55
31-01-1977,132.1
28-02-1977,142.25
31-03-1977,149.8
30-04-1977,146.5
31-05-1977,143.2
30-06-1977,142.95
31-07-1977,144.5
31-08-1977,146
30-09-1977,153.9
31-10-1977,160.8
30-11-1977,159.8
31-12-1977,165.6
31-01-1978,175.2
28-02-1978,182
31-03-1978,180.75
30-04-1978,170
31-05-1978,184.9
30-06-1978,183.2
31-07-1978,198.9
31-08-1978,207.3
30-09-1978,217.45
31-10-1978,243.65
30-11-1978,193.7
31-12-1978,224.5
31-01-1979,233.05
28-02-1979,250.9
31-03-1979,239.65
30-04-1979,243.45
31-05-1979,277.15
30-06-1979,276.45
31-07-1979,295.35
31-08-1979,317.75
30-09-1979,397
31-10-1979,379.75
30-11-1979,417.2
31-12-1979,524
31-01-1980,668
29-02-1980,640
31-03-1980,503.25
30-04-1980,519.25
31-05-1980,531.4
30-06-1980,662.5
31-07-1980,618
31-08-1980,633.75
30-09-1980,670
31-10-1980,636
30-11-1980,621.5
31-12-1980,589.5
31-01-1981,507.5
28-02-1981,490.25
31-03-1981,514.25
30-04-1981,481
31-05-1981,478.75
30-06-1981,421.5
31-07-1981,405.25
31-08-1981,425.5
30-09-1981,426.5
31-10-1981,429
30-11-1981,415.5
31-12-1981,400
31-01-1982,388.25
28-02-1982,363.25
31-03-1982,320.5
30-04-1982,356.75
31-05-1982,325.5
30-06-1982,314
31-07-1982,342.5
31-08-1982,409.6
30-09-1982,394.75
31-10-1982,422
30-11-1982,428.25
31-12-1982,448
31-01-1983,503
28-02-1983,419.75
31-03-1983,414.25
30-04-1983,428.5
31-05-1983,439
30-06-1983,416.75
31-07-1983,422.25
31-08-1983,414.5
30-09-1983,404
31-10-1983,383.5
30-11-1983,405.75
31-12-1983,381.5
31-01-1984,371.9
29-02-1984,396.6
31-03-1984,388.5
30-04-1984,376.2
31-05-1984,383.45
30-06-1984,375.25
31-07-1984,341.6
31-08-1984,347.7
30-09-1984,344.15
31-10-1984,334.5
30-11-1984,328.6
31-12-1984,309
31-01-1985,304.9
28-02-1985,290.5
31-03-1985,329.8
30-04-1985,324.65
31-05-1985,313.15
30-06-1985,316.5
31-07-1985,328.1
31-08-1985,335.75
30-09-1985,326.5
31-10-1985,325.75
30-11-1985,327.4
31-12-1985,327
31-01-1986,354
28-02-1986,338.25
31-03-1986,345.5
30-04-1986,344.75
31-05-1986,343.35
30-06-1986,345.5
31-07-1986,357.75
31-08-1986,386
30-09-1986,421.2
31-10-1986,401.5
30-11-1986,390
31-12-1986,390.9
31-01-1987,407.3
28-02-1987,405.75
31-03-1987,419
30-04-1987,454.5
31-05-1987,451.75
30-06-1987,447.1
31-07-1987,464.25
31-08-1987,455.9
30-09-1987,459.15
31-10-1987,468
30-11-1987,493.9
31-12-1987,486.5
31-01-1988,465.25
29-02-1988,423.75
31-03-1988,458
30-04-1988,449.75
31-05-1988,454
30-06-1988,436.85
31-07-1988,432.7
31-08-1988,426.35
30-09-1988,396.15
31-10-1988,412.3
30-11-1988,421.3
31-12-1988,410.15
31-01-1989,394.85
28-02-1989,386.75
31-03-1989,382.3
30-04-1989,381.3
31-05-1989,363.5
30-06-1989,371.15
31-07-1989,369.1
31-08-1989,359.6
30-09-1989,369
31-10-1989,376.05
30-11-1989,406.8
31-12-1989,401
31-01-1990,417.55
28-02-1990,409.1
31-03-1990,372.2
30-04-1990,371.55
31-05-1990,363.7
30-06-1990,352.4
31-07-1990,371.1
31-08-1990,388.1
30-09-1990,406.1
31-10-1990,379.25
30-11-1990,384.8
31-12-1990,391
31-01-1991,369.6
28-02-1991,363
31-03-1991,354
30-04-1991,353.45
31-05-1991,361.55
30-06-1991,366.9
31-07-1991,363.6
31-08-1991,347
30-09-1991,350.5
31-10-1991,357.4
30-11-1991,366.85
31-12-1991,353.4
31-01-1992,354.15
29-02-1992,353.05
31-03-1992,341.5
30-04-1992,336.25
31-05-1992,337.55
30-06-1992,343.4
31-07-1992,357.95
31-08-1992,340.5
30-09-1992,349
31-10-1992,338.8
30-11-1992,333.7
31-12-1992,332.9
31-01-1993,330.75
28-02-1993,328.75
31-03-1993,336.9
30-04-1993,353.45
31-05-1993,381
30-06-1993,379
31-07-1993,403.7
31-08-1993,370.6
30-09-1993,352.65
31-10-1993,369.1
30-11-1993,370.8
31-12-1993,390.65
31-01-1994,378.2
28-02-1994,380.75
31-03-1994,389.7
30-04-1994,376.45
31-05-1994,386.25
30-06-1994,385.4
31-07-1994,384.05
31-08-1994,386.25
30-09-1994,395.35
31-10-1994,387.4
30-11-1994,383.35
31-12-1994,382.5
31-01-1995,375.85
28-02-1995,375.7
31-03-1995,386.55
30-04-1995,389.5
31-05-1995,384.25
30-06-1995,387.6
31-07-1995,383.35
31-08-1995,381.65
30-09-1995,383.75
31-10-1995,382.4
30-11-1995,387.85
31-12-1995,386.7
31-01-1996,403.2
29-02-1996,400.35
31-03-1996,396.7
30-04-1996,390.15
31-05-1996,390.55
30-06-1996,381.3
31-07-1996,385.5
31-08-1996,387.25
30-09-1996,379.3
31-10-1996,379.3
30-11-1996,371.9
31-12-1996,369.55
31-01-1997,345
28-02-1997,360.6
31-03-1997,349.5
30-04-1997,340.45
31-05-1997,345.75
30-06-1997,334.05
31-07-1997,326
31-08-1997,325.4
30-09-1997,328.75
31-10-1997,310.4
30-11-1997,296.9
31-12-1997,289.2
31-01-1998,301.8
28-02-1998,296.55
31-03-1998,299.9
30-04-1998,310.7
31-05-1998,292.4
30-06-1998,295.75
31-07-1998,289.4
31-08-1998,273.4
30-09-1998,294.1
31-10-1998,293.1
30-11-1998,295.75
31-12-1998,287.45
31-01-1999,285.65
28-02-1999,286.8
31-03-1999,279.8
30-04-1999,285.85
31-05-1999,271.05
30-06-1999,261.2
31-07-1999,256.75
31-08-1999,254.6
30-09-1999,303.75
31-10-1999,298.85
30-11-1999,292
31-12-1999,290.85
31-01-2000,283.05
29-02-2000,294
31-03-2000,275.9
30-04-2000,275.85
31-05-2000,272.25
30-06-2000,289.15
31-07-2000,277.4
31-08-2000,274.95
30-09-2000,274.1
31-10-2000,263.8
30-11-2000,267
31-12-2000,272.65
31-01-2001,266.2
28-02-2001,265
31-03-2001,259.05
30-04-2001,263.45
31-05-2001,266.1
30-06-2001,269.9
31-07-2001,265.55
31-08-2001,275.35
30-09-2001,290.85
31-10-2001,280.95
30-11-2001,274.7
31-12-2001,276.5
31-01-2002,281.5
28-02-2002,296.55
31-03-2002,303
30-04-2002,309.35
31-05-2002,327.25
30-06-2002,319.05
31-07-2002,305.5
31-08-2002,312.4
30-09-2002,322.4
31-10-2002,316.35
30-11-2002,318.25
31-12-2002,342.75
31-01-2003,370.35
28-02-2003,347.65
31-03-2003,335.35
30-04-2003,336
31-05-2003,365.8
30-06-2003,345.15
31-07-2003,355.75
31-08-2003,371
30-09-2003,384.5
31-10-2003,384.6
30-11-2003,398.1
31-12-2003,417.25
31-01-2004,401.3
29-02-2004,392.25
31-03-2004,423
30-04-2004,387.3
31-05-2004,393.85
30-06-2004,393.75
31-07-2004,389.6
31-08-2004,408.1
30-09-2004,412.35
31-10-2004,426.2
30-11-2004,452
31-12-2004,438
31-01-2005,423.8
28-02-2005,436.55
31-03-2005,427.5
30-04-2005,433.2
31-05-2005,416.9
30-06-2005,436.8
31-07-2005,427.15
31-08-2005,433
30-09-2005,473.4
31-10-2005,472.65
30-11-2005,493.8
31-12-2005,513
31-01-2006,569.8
28-02-2006,556.5
31-03-2006,584
30-04-2006,638.25
31-05-2006,654
30-06-2006,600.4
31-07-2006,637
31-08-2006,621.75
30-09-2006,601.75
31-10-2006,600.9
30-11-2006,638.4
31-12-2006,635.7
31-01-2007,645.75
28-02-2007,677
31-03-2007,663.5
30-04-2007,678
31-05-2007,656.6
30-06-2007,648.5
31-07-2007,666.75
31-08-2007,668
30-09-2007,737.75
31-10-2007,783
30-11-2007,794.75
31-12-2007,836.5
31-01-2008,923.75
29-02-2008,969
31-03-2008,937.25
30-04-2008,867.75
31-05-2008,879.5
30-06-2008,932.75
31-07-2008,912
31-08-2008,836.5
30-09-2008,897
31-10-2008,728.5
30-11-2008,813.5
31-12-2008,865
31-01-2009,918.5
28-02-2009,943.75
31-03-2009,918.5
30-04-2009,889
31-05-2009,972
30-06-2009,941
31-07-2009,936.5
31-08-2009,950.75
30-09-2009,1001.25
31-10-2009,1044.5
30-11-2009,1172
31-12-2009,1104
31-01-2010,1082.75
28-02-2010,1112.5
31-03-2010,1109.5
30-04-2010,1175.25
31-05-2010,1214
30-06-2010,1240.5
31-07-2010,1168
31-08-2010,1233.5
30-09-2010,1311
31-10-2010,1336.75
30-11-2010,1375
31-12-2010,1410.25
31-01-2011,1333.5
28-02-2011,1409.75
31-03-2011,1431
30-04-2011,1531
31-05-2011,1537
30-06-2011,1508
31-07-2011,1613.75
31-08-2011,1826
30-09-2011,1629
31-10-2011,1718
30-11-2011,1704
31-12-2011,1574.5
31-01-2012,1738
29-02-2012,1788
31-03-2012,1660.75
30-04-2012,1662.5
31-05-2012,1567.5
30-06-2012,1569.5
31-07-2012,1622.75
31-08-2012,1657.75
30-09-2012,1781
31-10-2012,1718
30-11-2012,1728.25
31-12-2012,1664
31-01-2013,1674.5
28-02-2013,1591
31-03-2013,1602.5
30-04-2013,1472.75
31-05-2013,1410.25
30-06-2013,1203.25
31-07-2013,1331.5
31-08-2013,1392.75
30-09-2013,1335.75
31-10-2013,1333.75
30-11-2013,1245.25
31-12-2013,1201.5
31-01-2014,1246.5
28-02-2014,1327.75
31-03-2014,1294
30-04-2014,1292
31-05-2014,1254
30-06-2014,1313
31-07-2014,1295
31-08-2014,1285.75
30-09-2014,1210
31-10-2014,1173.25
30-11-2014,1184.5
31-12-2014,1199.25
31-01-2015,1263.5
28-02-2015,1205
31-03-2015,1179.25
30-04-2015,1204.3
31-05-2015,1190.4
30-06-2015,1175
31-07-2015,1080.05
31-08-2015,1125.5
30-09-2015,1122.5
31-10-2015,1147.75
30-11-2015,1055.65
31-12-2015,1062.25
31-01-2016,1112.9
29-02-2016,1234.15
31-03-2016,1233.6
30-04-2016,1237.7
